COURSES_ID,CRS_NAME,CRS_SUBJECT,CRS_NO,CRS_TITLE,CS_DEPARTMENT1,CRS_MIN_CRED,CRS_MAX_CRED,CRS_PREREQS,eqryCourseLocations_POS1.CRS_LOCATIONS,eqryCourseLocations_POS2.CRS_LOCATIONS,eqryCourseLocations_POS3.CRS_LOCATIONS,eqryCourseType_POS1.CRS_COURSE_TYPES,eqryCourseType_POS2.CRS_COURSE_TYPES,eqryCourseType_POS3.CRS_COURSE_TYPES,eqryCourseType_POS4.CRS_COURSE_TYPES,eqryCourseType_POS5.CRS_COURSE_TYPES
10,RS-020,RS,020,Intro to Christian Doctrine,RS,4,,,MAIN,SBD,,CD,,,,
1000,HIS-160,HIS,160,Mexican History and Civ,HIS,3,4,,MX,,,TH,,,,
1026,IS-123,IS,123,Culture & Society,IS,4,,,EUR,,,PIA,WA,,,
1035,IS-190,IS,190,Westmont in San Francisco Internship,IS,2,8,,URB,SBD,,SS,ENGI,,,
1069,POL-116,POL,116,Mexico Relationship With U.S.,POL,3,,,MX,,,,,,,
1072,SP-005,SP,005,Int Spanish Grammar (III/IV),ML,4,,,MX,,,MFL,,,,
1073,SP-006,SP,006,Int Spanish Conv (III/IV),ML,2,,,MX,,,MFL,,,,
1074,SP-105,SP,105,Language in Context,ML,3,,Y,MX,,,,,,,
1075,SP-120,SP,120,Advanced Composition,ML,3,,Y,MX,,,,,,,
1076,SP-121,SP,121,Advanced Oral Skills,ML,3,,Y,MX,,,,,,,
1077,SP-160,SP,160,Survey of Mexican Literature,ML,3,,Y,MX,,,RIL,,,,
1217,IS-121,IS,121,Culture & Society,HIS,4,,,EUR,MED,WIJ,TG,,,,
1218,IS-122,IS,122,Culture & Society,IS,4,,,EUR,ISTAN,WIJ,US,,,,
1219,IS-124,IS,124,Culture & Society,HIS,4,,,EUR,MED,,TH,,,,
1269,RS-184,RS,184,History of Christianity-Asia,HIS,4,,,MAIN,,,,,,,
1281,RS-158,RS,158,Christianity and Roman Empire,RS,4,,,MAIN,EST,,TH,,,,
1284,KNS-040,KNS,040,Human Nutrition,KNS,3,4,,MAIN,GHU,,,,,,
1288,SP-123,SP,123,Advanced Spanish Grammar,ML,3,,Y,MX,,,,,,,
1297,APP-191SS,APP,191SS,Serving Society Internship,APP,0,,,MAIN,WIJ,EMM,SS,,,,
1320,EB-190SS,EB,190SS,Internship,EB,8,,Y,URB,MAIN,,SS,,,,
1362,ENG-186,ENG,186,British and Irish Theatre I,ENG,4,,,MAIN,LON,ENG,WSI,PIA,LIT,WA,
1364,ENG-187,ENG,187,British and Irish Theatre II,ENG,4,,,MAIN,LON,,WSI,PIA,LIT,WA,
1365,RS-117,RS,117,Emerging Church: 1st & 21st Centuries,RS,4,,,URB,,,,,,,
1371,KNS-167,KNS,167,International Issues in Sport Sciences,KNS,3,,,E-MAY,,,,,,,
1417,PHI-190,PHI,190,Internship,PHI,1,8,,MAIN,SBD,,,,,,
1432,IS-125,IS,125,Culture & Society,HIS,4,,,EUR,,,TG,US,,,
144,COM-133,COM,133,Conflict and Reconciliation,COM,4,,,MAIN,NI,,,,,,
1456,BIO-190SS,BIO,190SS,Practicum,BIO,1,4,,MAIN,URB,,SS,,,,
1457,RS-150SC,RS,150SC,Mission and Social Justice,RS,4,,,MAIN,INDIA,,CC,SS,,,
1460,RS-136TG,RS,136TG,Encountering Hinduism,RS,4,,,MAIN,INDIA,,TG,,,,
1464,RS-150SS,RS,150SS,Wealth & Poverty in Christian History,RS,4,,,MAIN,WEA,,SS,,,,
1473,RS-190SS,RS,190SS,Religious Studies Internship,RS,8,,,URB,MAIN,,SS,,,,
1474,EB-150SS,EB,150SS,Social Entrepreneurship in Action,EB,4,,Y,MAIN,WEA,,SS,,,,
1475,MA-190SS,MA,190SS,Seminar-Service Learning Internship,MA,1,,,MAIN,URB,,SS,,,,
1477,CS-190SS,CS,190SS,Seminar-Service Learning Internship,MA,1,2,,MAIN,URB,,SS,,,,
148,COM-190,COM,190,Internship,COM,2,8,Y,MAIN,URB,SBD,,,,,
1480,SP-190SS,SP,190SS,Internship,ML,8,,,URB,,,SS,,,,
1481,TA-190SS,TA,190SS,Internship,TA,8,,,URB,,,SS,,,,
1482,ENG-190SS,ENG,190SS,Internship,ENG,8,,,URB,MAIN,,SS,,,,
149,COM-195,COM,195,Special Topics:,COM,1,4,,MAIN,NI,EEI,,,,,
1520,IS-191,IS,191,Communicating Cross-Culturally,IS,2,,,ENG,MED,,CC,,,,
1523,ENG-173,ENG,173,Eng Sem - Brit Lit After 1800,ENG,4,,,ENG,LON,,LIT,IMD,WSI,,
1554,IS-181,IS,181,Southeast Asia Seminar,IS,2,,,URB,THAI,ASIA,,,,,
1559,COM-190SS,COM,190SS,Internship,COM,8,,,URB,MAIN,,SS,,,,
1569,PHY-190SS,PHY,190SS,Internship,PHY,8,,,URB,MAIN,,SS,,,,
1570,POL-190SS,POL,190SS,Internship,POL,8,,,URB,MAIN,,SS,,,,
1602,RS-107,RS,107,"Topics in New Test Studies, Eff 09/FA",RS,4,,Y,MAIN,NI,,,,,,
1659,ENG-196,ENG,196,England-Communicating Cross-Culturally,ENG,2,,,ENG,MAIN,,CC,LIT,,,
1662,ENG-193,ENG,193,Topics: No GE Credit,ENG,3,,,,,,LIT,,,,
168,CS-190,CS,190,Internship,MA,1,4,Y,MAIN,SBD,,,,,,
1699,POL-128,POL,128,Culture&Conflict Mod Mid East,POL,4,,,ISTAN,CAIRO,,TG,,,,
1720,EB-150,EB,150,Topics: No Prereq,EB,2,4,,MAIN,CHINA,ASMT,,,,,
1725,IS-003,IS,003,Introductory Conversational Arabic,IS,3,4,,WIJ,CAIRO,,MFL,,,,
1728,EB-150,EB,150,Topics:,EB,2,4,Y,MAIN,CHINA,,,,,,
1762,HIS-165,HIS,165,Religions in Context,RS,4,,,ISTAN,CAIRO,,TH,CC,,,
1763,RS-165,RS,165,Religions in Context W/cc,RS,4,,,ISTAN,CAIRO,,TH,CC,,,
1788,ENG-163,ENG,163,Authors in Context,ENG,4,,Y,MAIN,ENG,,LIT,,,,
1789,IS-015,IS,015,First-Year Seminar,IS,1,2,,MAIN,SBD,,,,,,
183,EB-105,EB,105,Business Law,EB,4,,Y,MAIN,SBD,,,,,,
1859,ENG-192,ENG,192,Capstone Seminar,ENG,2,,,MAIN,ENG,,,,,,
193,EB-150,EB,150,Topics:,EB,2,4,Y,MAIN,CHINA,,,,,,
1987,PSY-150,PSY,150,Topics: No Prereq,PSY,2,4,,MAIN,GHU,,,,,,
204,EB-190,EB,190,Internship,EB,1,4,Y,MAIN,SBD,URB,,,,,
